Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,symmetric,0.01,0.3249038643161715
75% Corpus,9,symmetric,0.31,0.3950078307223054
75% Corpus,9,symmetric,0.61,0.3817477334035064
75% Corpus,9,symmetric,0.9099999999999999,0.33022027357174905
75% Corpus,9,symmetric,symmetric,0.3452446697274188
75% Corpus,9,asymmetric,0.01,0.3348042466360417
75% Corpus,9,asymmetric,0.31,0.3707203643411592
75% Corpus,9,asymmetric,0.61,0.3608457094287411
75% Corpus,9,asymmetric,0.9099999999999999,0.3387556194321476
75% Corpus,9,asymmetric,symmetric,0.34588584826182284
75% Corpus,10,0.01,0.01,0.3143377171905313
75% Corpus,10,0.01,0.31,0.3769815473146408
75% Corpus,10,0.01,0.61,0.39479237329120215
75% Corpus,10,0.01,0.9099999999999999,0.3378448203573738
75% Corpus,10,0.01,symmetric,0.3210930645579164
75% Corpus,10,0.31,0.01,0.3260832962510252
75% Corpus,10,0.31,0.31,0.35223732282947595
75% Corpus,10,0.31,0.61,0.3537915624230678
75% Corpus,10,0.31,0.9099999999999999,0.33521433011381385
75% Corpus,10,0.31,symmetric,0.3137370810270002
75% Corpus,10,0.61,0.01,0.3410952929014128
75% Corpus,10,0.61,0.31,0.37609593362003335
75% Corpus,10,0.61,0.61,0.3654991270787581
75% Corpus,10,0.61,0.9099999999999999,0.3009999120365215
75% Corpus,10,0.61,symmetric,0.3274578975809452
75% Corpus,10,0.9099999999999999,0.01,0.3538313122766591
75% Corpus,10,0.9099999999999999,0.31,0.3088310630501627
75% Corpus,10,0.9099999999999999,0.61,0.3650670486852325
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3217683396500577
75% Corpus,10,0.9099999999999999,symmetric,0.33577308298787034
75% Corpus,10,symmetric,0.01,0.319186001340847
75% Corpus,10,symmetric,0.31,0.4211570821457487
75% Corpus,10,symmetric,0.61,0.3809822793110282
75% Corpus,10,symmetric,0.9099999999999999,0.36208203840657593
75% Corpus,10,symmetric,symmetric,0.3159087482967888
75% Corpus,10,asymmetric,0.01,0.3170051499557218
75% Corpus,10,asymmetric,0.31,0.38306202122319627
75% Corpus,10,asymmetric,0.61,0.3816774918386884
75% Corpus,10,asymmetric,0.9099999999999999,0.3208692971433386
75% Corpus,10,asymmetric,symmetric,0.330896882325062
75% Corpus,11,0.01,0.01,0.3287811878236724
75% Corpus,11,0.01,0.31,0.3792147777585764
75% Corpus,11,0.01,0.61,0.3874939209614603
75% Corpus,11,0.01,0.9099999999999999,0.3263266772885652
75% Corpus,11,0.01,symmetric,0.3402689005391362
75% Corpus,11,0.31,0.01,0.3589815104877138
75% Corpus,11,0.31,0.31,0.34880693608041
75% Corpus,11,0.31,0.61,0.37745899223865775
75% Corpus,11,0.31,0.9099999999999999,0.30812956228877425
75% Corpus,11,0.31,symmetric,0.3456177895179776
75% Corpus,11,0.61,0.01,0.3390719464193136
75% Corpus,11,0.61,0.31,0.31300502830878585
75% Corpus,11,0.61,0.61,0.35840280612927006
75% Corpus,11,0.61,0.9099999999999999,0.33132436130219445
75% Corpus,11,0.61,symmetric,0.3275626378582993
75% Corpus,11,0.9099999999999999,0.01,0.3303179968784577
75% Corpus,11,0.9099999999999999,0.31,0.35435691650002554
75% Corpus,11,0.9099999999999999,0.61,0.3412307585049347
75% Corpus,11,0.9099999999999999,0.9099999999999999,0.300024103443289
75% Corpus,11,0.9099999999999999,symmetric,0.3208631944831153
75% Corpus,11,symmetric,0.01,0.34880088485031935
75% Corpus,11,symmetric,0.31,0.39401298408835006
75% Corpus,11,symmetric,0.61,0.37079260607103676
75% Corpus,11,symmetric,0.9099999999999999,0.33404559396235756
75% Corpus,11,symmetric,symmetric,0.3435564121561253
75% Corpus,11,asymmetric,0.01,0.36412197014943626
75% Corpus,11,asymmetric,0.31,0.3262877589155604
75% Corpus,11,asymmetric,0.61,0.36765325911108265
75% Corpus,11,asymmetric,0.9099999999999999,0.32347268898761883
75% Corpus,11,asymmetric,symmetric,0.3326791753238631
75% Corpus,12,0.01,0.01,0.3096052609189734
75% Corpus,12,0.01,0.31,0.3520686924658317
75% Corpus,12,0.01,0.61,0.3662076510831894
75% Corpus,12,0.01,0.9099999999999999,0.40294854258156404
75% Corpus,12,0.01,symmetric,0.30574862678221626
75% Corpus,12,0.31,0.01,0.32867400111425177
75% Corpus,12,0.31,0.31,0.3589096784782238
75% Corpus,12,0.31,0.61,0.36654020660470826
75% Corpus,12,0.31,0.9099999999999999,0.34357725618045054
75% Corpus,12,0.31,symmetric,0.3248440884575181
75% Corpus,12,0.61,0.01,0.334345178781362
75% Corpus,12,0.61,0.31,0.34985089648722056
75% Corpus,12,0.61,0.61,0.3681227572945234
75% Corpus,12,0.61,0.9099999999999999,0.3109933425232985
75% Corpus,12,0.61,symmetric,0.32483476323564425
75% Corpus,12,0.9099999999999999,0.01,0.35095413153654215
75% Corpus,12,0.9099999999999999,0.31,0.3205258918338086
75% Corpus,12,0.9099999999999999,0.61,0.37906420916618633
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.34436019820885
75% Corpus,12,0.9099999999999999,symmetric,0.3299408724039356
75% Corpus,12,symmetric,0.01,0.32374175982142805
75% Corpus,12,symmetric,0.31,0.3819312693004755
75% Corpus,12,symmetric,0.61,0.41104359937314083
75% Corpus,12,symmetric,0.9099999999999999,0.37585453999137586
75% Corpus,12,symmetric,symmetric,0.30618530393154214
75% Corpus,12,asymmetric,0.01,0.32944038158552885
